"App Name","Service principal name","App ID","SignInTypes","Count"
"FXIrisClient",,"4b0964e4-58f1-47f4-a552-e2e1fc56dcd7","NonInteractiveSignIns","1"
"Azure Portal",,"c44b4083-3bb0-49c1-b47d-974e53cbdf3c","InteractiveSignIns,NonInteractiveSignIns","2414"
"AnAuthLab-DeviceCodeFlow",,"7a93fcff-5b7c-4a30-96d9-da538dafff11","InteractiveSignIns,NonInteractiveSignIns","25"
"Microsoft_AAD_RegisteredApps",,"18ed3507-a475-4ccb-b669-d66bc9f2a36e","NonInteractiveSignIns","144"
"Exchange Admin Center",,"497effe9-df71-4043-a8bb-14cf78c4b63b","InteractiveSignIns,NonInteractiveSignIns","8"
"Tutorial Sample App",,"6731de76-14a6-49ae-97bc-6eba6914391e","InteractiveSignIns","3"
"My Apps",,"2793995e-0a7d-40d7-bd35-6968ba142197","InteractiveSignIns,NonInteractiveSignIns","29"
"Microsoft Authentication Broker",,"29d9ed98-a469-4536-ade2-f981bc1d605e","InteractiveSignIns,NonInteractiveSignIns","8"
"Office365 Shell WCSS-Server",,"5f09333a-842c-47da-a157-57da27fcbca5","NonInteractiveSignIns","6"
"","test1","ff797815-f66a-4c7e-9b51-b6601c7e9301","MSISignIns","3"
"Microsoft_Azure_PIMCommon",,"50aaa389-5a33-4f1a-91d7-2c45ecd8dac8","NonInteractiveSignIns","2"
"","AAD Delegation Auth CX","4c1a2751-600c-4c94-8bf9-a69c52a92eb5","ApplicationSignIns","5"
"OAuth-OBO-B",,"734b6b6b-97cd-45af-b6bf-37099b5135bd","NonInteractiveSignIns","1"
"AAP IDWEB",,"4cdd42d4-2190-4174-801c-cce81d560d57","InteractiveSignIns","1"
"Windows Store for Business",,"45a330b1-b1ec-4cc1-9161-9f03992aa49f","NonInteractiveSignIns","38"
"MicrosoftServicesPortfolio",,"977f94c9-56a6-4eb9-bff3-a6fdba0f44fb","InteractiveSignIns","1"
"Office UWP PWA",,"0ec893e0-5785-4de6-99da-4ed124e5296c","NonInteractiveSignIns","12"
"AnAuthLab-AuthCodeFlow",,"53beb5ba-7615-48d1-bfc4-ab25744a0916","InteractiveSignIns,NonInteractiveSignIns","22"
"Azure DevOps",,"499b84ac-1321-427f-aa17-267ca6975798","InteractiveSignIns","1"
"O365 Demeter",,"982bda36-4632-4165-a46a-9863b1bbcf7d","NonInteractiveSignIns","4"
"Microsoft.Azure.ActiveDirectoryIUX",,"bb8f18b0-9c38-48c9-a847-e1ef3af0602d","NonInteractiveSignIns","8"
"Microsoft Application Command Service",,"6f7e0f60-9401-4f5b-98e2-cf15bd5fd5e3","NonInteractiveSignIns","3"
"Microsoft_OperationsManagementSuite_Workspace",,"6e00b31f-06d4-4c93-8b14-e08b568b4a04","NonInteractiveSignIns","6"
"","LetsEncrypt","feac4650-0a6b-4f1f-839f-34fde5fbb665","ApplicationSignIns","1"
"Office365 Shell WCSS-Client",,"89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","InteractiveSignIns","23"
"Bing",,"9ea1ad79-fdb6-4f9a-8bc3-2b70f96e34c7","InteractiveSignIns,NonInteractiveSignIns","1764"
"Smartsheet",,"3290e3f7-d3ac-4165-bcef-cf4874fc4270","InteractiveSignIns,NonInteractiveSignIns","3"
"SharePoint Online Web Client Extensibility",,"08e18876-6177-487e-b8b5-cf950c1e598c","InteractiveSignIns","2"
"AADSaml",,"9b749cc9-004a-419b-a532-31da51bff999","InteractiveSignIns","109"
"AAD App Management",,"f0ae4899-d877-4d3c-ae25-679e38eea492","NonInteractiveSignIns","25"
"Microsoft 365 Support Service",,"ee272b19-4411-433f-8f28-5c13cb6fd407","InteractiveSignIns,NonInteractiveSignIns","12"
"Windows Sign In",,"38aa3b87-a06d-4817-b275-7a316988d93b","InteractiveSignIns,NonInteractiveSignIns","16"
"Microsoft_AAD_Devices",,"c40dfea8-483f-469b-aafe-642149115b3a","NonInteractiveSignIns","1"
"","AnAuthLab-ClientCredentialFlow","2bfddaf4-0673-49a7-a615-2b6bb3acbf31","ApplicationSignIns","1"
"Microsoft Graph",,"00000003-0000-0000-c000-000000000000","NonInteractiveSignIns","4"
"Office 365 Exchange Online",,"00000002-0000-0ff1-ce00-000000000000","InteractiveSignIns,NonInteractiveSignIns","9"
"Universal Store Native Client",,"268761a2-03f3-40df-8a8b-c3db24145b6b","NonInteractiveSignIns","3"
"Microsoft Device Registration Client",,"dd762716-544d-4aeb-a526-687b73838a22","InteractiveSignIns,NonInteractiveSignIns","5"
"","WebAPI-CX","e05c5c8b-a6d7-44d8-9d95-2f38af819347","InteractiveSignIns,ApplicationSignIns","11"
"Microsoft Azure Active Directory Connect",,"cb1056e2-e479-49de-ae31-7812af012ed8","InteractiveSignIns,NonInteractiveSignIns","3856"
"Microsoft_AAD_ERM",,"2a508b4a-9a5e-45ee-a60a-6380ede07f65","NonInteractiveSignIns","1"
"Microsoft Office 365 Portal",,"00000006-0000-0ff1-ce00-000000000000","InteractiveSignIns,NonInteractiveSignIns","374"
"AppProxy",,"4f02457b-5221-4752-9dd6-7fbde4d67c98","InteractiveSignIns,NonInteractiveSignIns","68"
"Azure Active Directory PowerShell",,"1b730954-1685-4b74-9bfd-dac224a7b894","InteractiveSignIns,NonInteractiveSignIns","34"
"Windows Search",,"26a7ee05-5602-4d76-a7ba-eae8b7b67941","NonInteractiveSignIns","9"
"Microsoft Office Web Apps Service",,"67e3df25-268a-4324-a550-0de1c7f97287","InteractiveSignIns,NonInteractiveSignIns","2"
"Azure AD App Tools",,"ed53d74a-6e8e-43f7-9f6f-97c9a52b56e5","InteractiveSignIns,NonInteractiveSignIns","3"
"Graph explorer (official site)",,"de8bc8b5-d9f9-48b1-a8ad-b748da725064","InteractiveSignIns,NonInteractiveSignIns","418"
"Lab App 02 MSGraph Access",,"e248791a-921e-4d1a-a04a-a37b549e8588","InteractiveSignIns,NonInteractiveSignIns","22"
"Microsoft_Azure_Monitoring",,"46ff7383-ea2d-47fe-92a0-e27d7dc2fee9","NonInteractiveSignIns","1"
"Microsoft Storefronts",,"28b567f6-162c-4f54-99a0-6887f387bbcc","InteractiveSignIns","2"
"Microsoft Docs",,"7f59a773-2eaf-429c-a059-50fc5bb28b44","NonInteractiveSignIns","28"
"M365 Admin Services",,"6b91db1b-f05b-405a-a0b2-e3f60b28d645","NonInteractiveSignIns","20"
"Signup",,"b4bddae8-ab25-483e-8670-df09b9f1d0ea","InteractiveSignIns,NonInteractiveSignIns","4"
"","Client-CX","77c42383-f1c3-4591-819f-b7db9d646ced","InteractiveSignIns,ApplicationSignIns","67"
"Enterprise Roaming and Backup",,"60c8bde5-3167-4f92-8fdb-059f6176dc0f","NonInteractiveSignIns","1"
"Microsoft App Access Panel",,"0000000c-0000-0000-c000-000000000000","InteractiveSignIns,NonInteractiveSignIns","5700"
"Microsoft Docs",,"18fbca16-2224-45f6-85b0-f7bf2b39b3f3","InteractiveSignIns","21"
"Accounts Control UI",,"a40d7d7d-59aa-447e-a655-679a4107e548","NonInteractiveSignIns","1"
"","AppAudit","bb98a186-d35a-4a71-99b8-544bd852c08d","ApplicationSignIns","14"
"Smartsheet",,"c68947ae-a07f-44ce-9a13-7b559251731d","InteractiveSignIns","38"
"OAuth 2.0 Auth Code Grant - Demo",,"e2a55bd5-ae5c-41c0-8243-de710e5bf8a2","InteractiveSignIns,NonInteractiveSignIns","55"
"ADIbizaUX",,"74658136-14ec-4630-ad9b-26e160ff0fc6","NonInteractiveSignIns","1162"
"Microsoft Exchange Online Remote PowerShell",,"a0c73c16-a7e3-4564-9a95-2bdf47383716","InteractiveSignIns,NonInteractiveSignIns","4"
"AADReporting",,"1b912ec3-a9dd-4c4d-a53e-76aa7adb28d7","NonInteractiveSignIns","1"
"Visual Studio",,"872cd9fa-d31f-45e0-9eab-6e460a02d1f1","NonInteractiveSignIns","3"
"OIDCTest",,"b749281f-ca24-423f-bf26-6c17a2d211e3","InteractiveSignIns,ApplicationSignIns,NonInteractiveSignIns","70"
"O365 Suite UX",,"4345a7b9-9a63-4910-a426-35363201d503","InteractiveSignIns,NonInteractiveSignIns","288"
"ACOM Azure Website",,"23523755-3a2b-41ca-9315-f81f3f566a95","InteractiveSignIns,NonInteractiveSignIns","24"
"Office 365 SharePoint Online",,"00000003-0000-0ff1-ce00-000000000000","InteractiveSignIns,NonInteractiveSignIns","15"
"",,"","InteractiveSignIns","3"
